Company/Candidate Name,Analytics,Business,Coding,DevOps,ML/AI,Marketing,Maths,Prod_mgmt.,Security_Network,Soft_Skills,WebD
LOTTE INNOVATE VIETNAM,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
LOTTE Mart Vietnam,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LPBank,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
LTD Material LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lalamove,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Le Méridien Hotels & Resorts,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Lectra,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Leo Burnett,2.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0
Liberty Insurance Vietnam,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
Lihuhu Games,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Lita Global,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0
LivWell,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
Luxoft Vietnam,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
L’OCCITANE Group,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
MAP Active Vietnam,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
MEDLOG Transport & Logistics,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
METUB,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
MFast,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
MSL UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MTI Technology,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0
MagnetIX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ManpowerGroup Vietnam,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
Manulife,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
Mapletree,3.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0
Marico SEA Careers,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
Marou - Faiseurs de Chocolat,3.0,9.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0
Mars,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Marvell Technology,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Masan Consumer Holdings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Masan Group,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
Mastercard,9.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,2.0
MaxX DC,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0
Mercedes-Benz Vietnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Michael Page,2.0,18.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,19.0,6.0
Microchip Technology Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Microsoft,2.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
Mindray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Mirae Asset Finance Company (Vietnam),5.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,1.0
Miraiku Little Hands Kindergarten,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
